role__name,entity_className,permission
system,org.molgenis.core.OntologyTerm,write
system,org.molgenis.core.Ontology,write
system,org.molgenis.core.MolgenisFile,write
system,org.molgenis.core.RuntimeProperty,write
system,org.molgenis.core.Publication,write
system,org.molgenis.core.UseCase,write
system,org.molgenis.core.MolgenisEntity,write
system,org.molgenis.organization.Investigation,write
system,org.molgenis.pheno.Species,write
system,org.molgenis.pheno.AlternateId,write
system,org.molgenis.pheno.ObservationElement,write
system,org.molgenis.pheno.ObservationTarget,write
system,org.molgenis.pheno.ObservableFeature,write
system,org.molgenis.pheno.Measurement,write
system,org.molgenis.pheno.Category,write
system,org.molgenis.pheno.Individual,write
system,org.molgenis.pheno.Location,write
system,org.molgenis.pheno.Panel,write
system,org.molgenis.pheno.ObservedValue,write
system,org.molgenis.protocol.Protocol,write
system,org.molgenis.protocol.ProtocolApplication,write
system,org.molgenis.protocol.ProtocolDocument,write
system,org.molgenis.protocol.Workflow,write
system,org.molgenis.protocol.WorkflowElement,write
system,org.molgenis.protocol.WorkflowElementParameter,write
systemAdmin,org.molgenis.news.MolgenisNews,write
system,org.molgenis.auth.MolgenisRole,read
system,org.molgenis.auth.MolgenisGroup,read
system,org.molgenis.auth.MolgenisRoleGroupLink,read
system,org.molgenis.auth.Person,write
system,org.molgenis.auth.Institute,write
system,org.molgenis.auth.MolgenisUser,write
system,org.molgenis.auth.MolgenisPermission,read
system,org.molgenis.batch.MolgenisBatch,write
system,org.molgenis.batch.MolgenisBatchEntity,write
system,org.molgenis.animaldb.AnimalDbFile,write
system,org.molgenis.animaldb.CustomLabelFeature,write
system,org.molgenis.animaldb.NamePrefix,write
system,org.molgenis.animaldb.DeletedObservedValue,write
system,org.molgenis.animaldb.DeletedObservationTarget,write
system,org.molgenis.animaldb.DeletedIndividual,write
system,org.molgenis.organization.Investigation_Contacts,write
system,org.molgenis.pheno.ObservationElement_Ontolo12449,write
system,org.molgenis.pheno.ObservationElement_AlternateId,write
system,org.molgenis.pheno.Measurement_Categories,write
system,org.molgenis.pheno.Panel_Individuals,write
system,org.molgenis.pheno.Panel_FounderPanels,write
system,org.molgenis.protocol.Protocol_OntologyReference,write
system,org.molgenis.protocol.Protocol_Features,write
system,org.molgenis.protocol.Protocol_Subprotocols,write
system,org.molgenis.protocol.ProtocolApplication_Ontol11768,write
system,org.molgenis.protocol.ProtocolApplication_Performer,write
system,org.molgenis.protocol.WorkflowElement_PreviousSteps,write
system,app.ui.AnimalDBHeaderPlugin,write
system,app.ui.mainmenuMenu,read
system,app.ui.AnimalDBWelcomeScreenPlugin,read
system,app.ui.ManualPlugin,read
system,app.ui.animalmenuMenu,read
system,app.ui.DataViewerPlugin,read
system,app.ui.TimelineViewerPlugin,read
breeding,app.ui.ViewFamilyPlugin,read
importAnimals,app.ui.AddAnimalPlugin,read
breeding,app.ui.BreedingPlugin,read
removeAnimals,app.ui.RemAnimalPlugin,read
system,app.ui.LocationPluginPlugin,read
system,app.ui.PrintLabelsPlugin,read
dec,app.ui.decmenuMenu,read
dec,app.ui.DecStatusPlugin,read
dec,app.ui.AddProjectPlugin,read
dec,app.ui.AddSubprojectPlugin,read
dec,app.ui.YearlyReportModulePlugin,read
settings,app.ui.SettingsMenu,read
settings,app.ui.ManageLinesPlugin,read
settings,app.ui.LocationsPlugin,read
settings,app.ui.SpeciesPlugin,read
settings,app.ui.GenesPlugin,read
settings,app.ui.BackgroundsPlugin,read
settings,app.ui.errorcorrectmenuMenu,read
settings,app.ui.ErrorCorrectionIndividualPlugin,read
settings,app.ui.ErrorCorrectionValuePlugin,read
systemAdmin,app.ui.AdminMenu,write
systemAdmin,app.ui.securitymenuMenu,write
systemAdmin,app.ui.AnimalDbUsersPlugin,write
systemAdmin,app.ui.UserToPersonPluginPlugin,write
systemAdmin,app.ui.PermissionManagementPluginPlugin,write
systemAdmin,app.ui.secmenuMenu,write
systemAdmin,app.ui.MolgenisUserFormController,write
systemAdmin,app.ui.PersonsFormController,write
systemAdmin,app.ui.InstitutesFormController,write
systemAdmin,app.ui.MolgenisGroupFormController,write
systemAdmin,app.ui.MolgenisRoleGroupLinkFormController,write
systemAdmin,app.ui.MolgenisEntityFormController,write
systemAdmin,app.ui.MolgenisPermissionFormController,write
systemAdmin,app.ui.systemmenuMenu,write
systemAdmin,app.ui.LoadLegacyPlugin,write
systemAdmin,app.ui.SimpleArchiverPlugin,write
systemAdmin,app.ui.ApplyProtocolPlugin,write
systemAdmin,app.ui.CascadingDeleteAnimalsPlugin,write
systemAdmin,app.ui.tablemenuMenu,write
systemAdmin,app.ui.investigationFormController,write
systemAdmin,app.ui.ontologyFormController,write
systemAdmin,app.ui.ontologytermFormController,write
systemAdmin,app.ui.categoryFormController,write
systemAdmin,app.ui.individualFormController,write
systemAdmin,app.ui.panelFormController,write
systemAdmin,app.ui.locationFormController,write
systemAdmin,app.ui.measurementFormController,write
systemAdmin,app.ui.protocolFormController,write
systemAdmin,app.ui.protocolapplicationFormController,write
systemAdmin,app.ui.observedvalueFormController,write
systemAdmin,app.ui.prefixFormController,write
systemAdmin,app.ui.newsFormController,write
systemAdmin,app.ui.filesFormController,write
systemAdmin,app.ui.ViewerPlugin,write
systemAdmin,app.ui.deltablemenuMenu,write
systemAdmin,app.ui.delindividualFormController,write
systemAdmin,app.ui.delobservedvalueFormController,write
systemAdmin,app.ui.FileStoragePlugin,write
systemAdmin,app.ui.UserLoginPlugin,write

